Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
22505348-ffea-43f4-8477-187b6e310977,,,PAN1001 - Brulure < 10% sans anesthesie,PAN1001 - Brulure < 10% sans anesthesie,Brulure < 10% sans anesthesie,Brulure < 10% sans anesthesie,,,Wound Dressing,Text,,,,,,,,,,,
924222a5-27e2-4412-9092-767979d87c56,,,PAN1002 - Brulure < 10%.  Premier Pansement sans anesthesie,PAN1002 - Brulure < 10%.  Premier Pansement sans anesthesie,Brulure < 10%.  Premier Pansement sans anesthesie,Brulure < 10%.  Premier Pansement sans anesthesie,,,Wound Dressing,Text,,,,,,,,,,,
f9116b2d-3d03-4539-8d97-c0e2709b02d6,,,PAN1003 - Brulure entre < 20%. Premier Pansement sans anesthesie,PAN1003 - Brulure entre < 20%. Premier Pansement sans anesthesie,Brulure entre < 20%. Premier Pansement sans anesthesie,Brulure entre < 20%. Premier Pansement sans anesthesie,,,Wound Dressing,Text,,,,,,,,,,,
9c11f83d-0161-494a-b452-e30bd81c5816,,,PAN1004 - Brulure entre >50%   sans anesthesie,PAN1004 - Brulure entre >50%   sans anesthesie,Brulure entre >50%   sans anesthesie,Brulure entre >50%   sans anesthesie,,,Wound Dressing,Text,,,,,,,,,,,
eaeec5f7-2c57-4480-a693-c02769aff07e,,,PAN1005 - Brulure entre >50%  1er pansement sans anesthesie,PAN1005 - Brulure entre >50%  1er pansement sans anesthesie,Brulure entre >50%  1er pansement sans anesthesie,Brulure entre >50%  1er pansement sans anesthesie,,,Wound Dressing,Text,,,,,,,,,,,
dfaa8634-6347-40d0-bf25-719994850a7b,,,PAN1006 - Brulure entre 10 et 20% Premier Pansement  sans anesthesie,PAN1006 - Brulure entre 10 et 20% Premier Pansement  sans anesthesie,Brulure entre 10 et 20% Premier Pansement  sans anesthesie,Brulure entre 10 et 20% Premier Pansement  sans anesthesie,,,Wound Dressing,Text,,,,,,,,,,,
32ec0c19-28ab-4a33-90f0-51877dd66082,,,PAN1007 - Brulure entre 20 a 50%   sans anesthesie,PAN1007 - Brulure entre 20 a 50%   sans anesthesie,Brulure entre 20 a 50%   sans anesthesie,Brulure entre 20 a 50%   sans anesthesie,,,Wound Dressing,Text,,,,,,,,,,,
6918f2eb-4753-410d-8bea-693f4c7c5dfc,,,PAN1008 - Brulure entre 20 a 50% 1er pansement sans anesthesie,PAN1008 - Brulure entre 20 a 50% 1er pansement sans anesthesie,Brulure entre 20 a 50% 1er pansement sans anesthesie,Brulure entre 20 a 50% 1er pansement sans anesthesie,,,Wound Dressing,Text,,,,,,,,,,,
fe5a30cf-ca2f-48fe-b86b-1aebf9b390ce,,,PAN1009 - Debridement Brulure >50% sans anesthesie,PAN1009 - Debridement Brulure >50% sans anesthesie,Debridement Brulure >50% sans anesthesie,Debridement Brulure >50% sans anesthesie,,,Wound Dressing,Text,,,,,,,,,,,
11f63a84-9932-4c85-8ca7-e6a5b1a8df9b,,,PAN1010 - Debridement Brulure entre 20 a 50% sans anesthesie,PAN1010 - Debridement Brulure entre 20 a 50% sans anesthesie,Debridement Brulure entre 20 a 50% sans anesthesie,Debridement Brulure entre 20 a 50% sans anesthesie,,,Wound Dressing,Text,,,,,,,,,,,
